"","topic","term","estimate","std.error","statistic","p.value"
"34",17,"g_orientadorMale",0.00342575606951503,0.00172281193140869,1.988467810711,0.046783186662181
"35",18,"(Intercept)",0.0129187901171535,0.00172147357291911,7.50449517226519,0.0000000000000661233851708366
"36",18,"g_orientadorMale",0.00136744670139325,0.00197827826947078,0.69123071435196,0.489434251166541
"37",19,"(Intercept)",0.0266258987574847,0.00229680354728947,11.5925886604045,0.000000000000000000000000000000662260507712851
"38",19,"g_orientadorMale",-0.00602129327801327,0.00254406950779103,-2.3667958990796,0.0179589790601451
"39",20,"(Intercept)",0.00560849223642556,0.00142930338469307,3.92393406220747,0.0000876119721308204
"40",20,"g_orientadorMale",0.00255743152724875,0.00155489366806956,1.64476296982023,0.100045510597649
"41",21,"(Intercept)",0.00802090353597179,0.00143432148986703,5.59212393639544,0.000000022932813937979
"42",21,"g_orientadorMale",0.00322505727740408,0.00165925556394666,1.94367724145703,0.0519582804708816
"43",22,"(Intercept)",0.0125421413340684,0.00206502548215666,6.07360124242617,0.00000000128947781818562
"44",22,"g_orientadorMale",0.00330595855975011,0.00235718889334932,1.40250048228112,0.160792324686392
"45",23,"(Intercept)",0.0143558167722722,0.00188769396291301,7.60494924194118,0.0000000000000306763988076644
"46",23,"g_orientadorMale",-0.000435162003855053,0.00201752392892064,-0.215691123964939,0.829232272558417
"47",24,"(Intercept)",0.0094007842349066,0.00134318601750611,6.99886993490374,0.00000000000272104424453137
"48",24,"g_orientadorMale",-0.00215843336716612,0.00149943189214444,-1.4395007725754,0.150035389775383
"49",25,"(Intercept)",0.00926271894245685,0.0018385577944342,5.03803523092804,0.000000477339442299986
"50",25,"g_orientadorMale",0.0058313522566333,0.00203676770398697,2.86304238093448,0.00420338329756038
"51",26,"(Intercept)",0.00812593767940449,0.00170242578390062,4.77315237835874,0.00000183555615641399
"52",26,"g_orientadorMale",0.00791828237017643,0.00190647150770851,4.15337042182909,0.0000329934907597697
"53",27,"(Intercept)",0.0166288362251789,0.00158731087334811,10.4761055344526,0.000000000000000000000000144241707222341
"54",27,"g_orientadorMale",-0.00483941604946245,0.00174175579830433,-2.778469894674,0.00547024561083831
